id,first_name,last_name,email,gender,loyalty_status,education,average_spend_2021,total_spend_2021,most_traveled_city,most_traveled_state
22,Arlette,Bendle,Arlette.Bendle@datascience.aot.com,Female,Silver,High School Diploma,$382.58,$1873.78,,
23,Malena,Haye,Malena.Haye@datascience.aot.com,Female,Platnium,Bachelor Degree,$303.02,$4861.28,Dallas,TX
24,Neile,Whiteman,Neile.Whiteman@datascience.aot.com,Female,Silver,PhD,$237.86,$3861.61,Buffalo,NY
25,Philly,Chaikovski,Philly.Chaikovski@datascience.aot.com,Female,None,PhD,$289.76,$4042.57,Baltimore,MD
26,Atlanta,Jerger,Atlanta.Jerger@datascience.aot.com,Female,Platnium,High School Diploma,$313.99,$638.12,Washington,DC
27,Laurena,Blunsen,Laurena.Blunsen@datascience.aot.com,Female,Platnium,Bachelor Degree,$216.02,$878.77,New York City,NY
28,Lila,Bemwell,Lila.Bemwell@datascience.aot.com,Polygender,None,Bachelor Degree,$314.54,$2020.31,,
29,Kattie,Ambridge,Kattie.Ambridge@datascience.aot.com,Female,Gold,,,,Memphis,TN
30,Valene,Marishenko,Valene.Marishenko@datascience.aot.com,Female,None,PhD,$339.06,$2892.70,Columbus,OH
31,Phyllida,Lovegrove,Phyllida.Lovegrove@datascience.aot.com,Female,Silver,High School Diploma,$313.33,$1163.59,Lexington,KY
32,Alva,Tisor,Alva.Tisor@datascience.aot.com,Male,Platnium,Master Degree,$177.99,$4801.31,Harrisburg,PA
33,Sigvard,Doubleday,Sigvard.Doubleday@datascience.aot.com,Male,None,High School Diploma,$373.02,$3021.48,Los Angeles,CA
34,Trudie,Trood,Trudie.Trood@datascience.aot.com,Female,Silver,Master Degree,$319.06,$1467.72,Columbus,OH
35,Miller,Kidwell,Miller.Kidwell@datascience.aot.com,Male,Gold,Some College,$212.60,$867.55,New Orleans,LA
36,Ichabod,Dolley,Ichabod.Dolley@datascience.aot.com,Male,Silver,,,,,
37,Weston,Newlands,Weston.Newlands@datascience.aot.com,Male,None,Bachelor Degree,$232.05,$3809.22,Lake Worth,FL
38,Guilbert,Quenby,Guilbert.Quenby@datascience.aot.com,Male,Platnium,PhD,$281.41,$2145.06,,
39,Linoel,Chaudrelle,Linoel.Chaudrelle@datascience.aot.com,Male,None,PhD,$203.09,$3509.16,Arlington,VA
40,Whitman,Stocken,Whitman.Stocken@datascience.aot.com,Male,None,Master Degree,$220.18,$1698.46,Washington,DC
41,Sasha,Teare,Sasha.Teare@datascience.aot.com,Male,Gold,Master Degree,$382.66,$1806.07,Toledo,OH
42,Jo,Roget,Jo.Roget@datascience.aot.com,Male,Platnium,PhD,$247.53,$2786.58,Tulsa,OK
43,Caldwell,Grindell,Caldwell.Grindell@datascience.aot.com,Male,None,High School Diploma,$226.43,$1505.69,,
44,Sloane,Pamplin,Sloane.Pamplin@datascience.aot.com,Male,Silver,Some College,$368.48,$926.35,Columbia,MO
45,Barris,Cathenod,Barris.Cathenod@datascience.aot.com,Male,Gold,PhD,$330.05,$4549.49,Pomona,CA
46,Vikki,Millen,Vikki.Millen@datascience.aot.com,Female,Silver,Some College,$172.29,$1392.25,Meridian,MS
47,Darleen,Whithorn,Darleen.Whithorn@datascience.aot.com,Female,Platnium,Bachelor Degree,$345.87,$3887.71,Denver,CO
48,Ladonna,Wallwood,Ladonna.Wallwood@datascience.aot.com,Bigender,Gold,PhD,$316.73,$3392.06,Lexington,KY
49,Creight,Flipsen,Creight.Flipsen@datascience.aot.com,Male,Platnium,Master Degree,$210.70,$2647.34,Abilene,TX
50,Tomas,Croker,Tomas.Croker@datascience.aot.com,Male,Silver,Bachelor Degree,$199.48,$401.72,Tampa,FL
51,Farly,Walby,Farly.Walby@datascience.aot.com,Male,Platnium,Bachelor Degree,$250.02,$2802.04,Oakland,CA
52,Arnoldo,Bolam,Arnoldo.Bolam@datascience.aot.com,Non-binary,Gold,Some College,$229.39,$2756.40,Denver,CO
53,Dominic,Stillert,Dominic.Stillert@datascience.aot.com,Male,Silver,Some College,$340.65,$3342.98,New York City,NY
54,Lenka,Lednor,Lenka.Lednor@datascience.aot.com,Female,Silver,High School Diploma,$387.53,$1176.91,Cincinnati,OH
55,Sella,Mardee,Sella.Mardee@datascience.aot.com,Female,Gold,Some College,$399.14,$4599.28,El Paso,TX
56,Aleta,Huntress,Aleta.Huntress@datascience.aot.com,Female,Silver,Master Degree,$293.30,$579.68,Louisville,KY
57,Albert,Aberdein,Albert.Aberdein@datascience.aot.com,Male,Platnium,Master Degree,$160.69,$4773.37,Davenport,IA
58,Jarret,Dresser,Jarret.Dresser@datascience.aot.com,Male,Platnium,High School Diploma,$249.98,$4277.86,Denver,CO
59,Jackqueline,Acheson,Jackqueline.Acheson@datascience.aot.com,Female,None,PhD,$173.17,$2621.02,Springfield,VA
60,Jehu,Mustoe,Jehu.Mustoe@datascience.aot.com,Male,Silver,High School Diploma,$186.58,$4739.88,Los Angeles,CA
61,Floria,Treasaden,Floria.Treasaden@datascience.aot.com,Non-binary,Silver,Master Degree,$257.35,$4933.63,Seattle,WA
62,Hieronymus,Galbraith,Hieronymus.Galbraith@datascience.aot.com,Agender,Platnium,Some College,$373.35,$3826.49,Anchorage,AK
63,Burl,Hefferon,Burl.Hefferon@datascience.aot.com,Bigender,Silver,PhD,$339.04,$3433.16,Honolulu,HI
64,Udale,Raikes,Udale.Raikes@datascience.aot.com,Male,None,PhD,$254.07,$2054.05,Arlington,VA
65,Conrado,Hansley,Conrado.Hansley@datascience.aot.com,Male,Silver,Bachelor Degree,$276.79,$4920.71,,
66,Garvey,Sivess,Garvey.Sivess@datascience.aot.com,Male,Gold,Bachelor Degree,$167.40,$949.61,Corpus Christi,TX
67,Filide,Derl,Filide.Derl@datascience.aot.com,Female,None,Some College,$387.99,$2241.29,Frederick,MD
68,Fraser,Doreward,Fraser.Doreward@datascience.aot.com,Male,Platnium,PhD,$319.51,$1499.33,Columbia,SC
69,Mureil,Belchem,Mureil.Belchem@datascience.aot.com,Female,Silver,Bachelor Degree,$190.12,$1076.56,Vancouver,WA
70,Gerrie,Welford,Gerrie.Welford@datascience.aot.com,Male,None,High School Diploma,$152.96,$3433.82,Houston,TX
71,Phineas,Vonderdell,Phineas.Vonderdell@datascience.aot.com,Male,Platnium,Bachelor Degree,$254.76,$4653.68,Topeka,KS
72,Truda,Grills,Truda.Grills@datascience.aot.com,Female,Platnium,Master Degree,$152.00,$2472.36,Boise,ID
73,Gabrielle,Eddow,Gabrielle.Eddow@datascience.aot.com,Female,Silver,Bachelor Degree,$293.28,$944.73,Reston,VA
74,Frankie,Ishak,Frankie.Ishak@datascience.aot.com,Female,Platnium,Master Degree,$181.66,$2172.70,Houston,TX
75,Carlin,Dedmam,Carlin.Dedmam@datascience.aot.com,Male,None,Some College,$193.11,$2265.89,Indianapolis,IN
76,Anica,Headley,Anica.Headley@datascience.aot.com,Female,None,Master Degree,$284.95,$1416.91,Rochester,NY
77,Keen,Floodgate,Keen.Floodgate@datascience.aot.com,Male,Gold,Master Degree,$367.84,$2849.80,Glendale,AZ
78,Lutero,Wabey,Lutero.Wabey@datascience.aot.com,Male,Silver,PhD,$370.54,$3781.47,Young America,MN
79,Claudell,Allderidge,Claudell.Allderidge@datascience.aot.com,Male,Gold,High School Diploma,$236.88,$1004.10,Erie,PA
80,Karita,Bernardi,Karita.Bernardi@datascience.aot.com,Female,Silver,Master Degree,$301.52,$2448.27,Savannah,GA
81,Donetta,Shore,Donetta.Shore@datascience.aot.com,Female,None,Bachelor Degree,$396.30,$1323.61,Jamaica,NY
82,Joby,Folca,Joby.Folca@datascience.aot.com,Female,Silver,Some College,$282.13,$523.49,Anderson,IN
83,Darda,Leynagh,Darda.Leynagh@datascience.aot.com,Female,Gold,Some College,$375.12,$2013.19,Peoria,IL
84,Bambie,Pampling,Bambie.Pampling@datascience.aot.com,Female,Silver,Master Degree,$253.91,$1692.51,Winston Salem,NC
85,Budd,Keaton,Budd.Keaton@datascience.aot.com,Male,None,Master Degree,$364.99,$3918.34,Atlanta,GA
86,Glori,Houseman,Glori.Houseman@datascience.aot.com,Female,Silver,Master Degree,$201.88,$528.64,Austin,TX
87,Theodoric,Hagger,Theodoric.Hagger@datascience.aot.com,Male,None,Some College,$258.99,$684.90,Manchester,NH
88,Paola,McGirl,Paola.McGirl@datascience.aot.com,Female,Platnium,,,,,
89,Aleen,Darycott,Aleen.Darycott@datascience.aot.com,Female,Silver,High School Diploma,$260.09,$4824.20,Saint Paul,MN
90,Staford,Erangey,Staford.Erangey@datascience.aot.com,Male,Gold,High School Diploma,$276.94,$1227.18,Las Vegas,NV
91,Annabal,Herries,Annabal.Herries@datascience.aot.com,Female,Silver,Master Degree,$261.51,$1150.40,Washington,DC
92,Dona,Battlestone,Dona.Battlestone@datascience.aot.com,Female,Silver,PhD,$230.16,$449.29,Rockford,IL
93,Tadd,Cruttenden,Tadd.Cruttenden@datascience.aot.com,Polygender,None,Some College,$161.76,$1490.19,Spokane,WA
94,Golda,Mengo,Golda.Mengo@datascience.aot.com,Female,Silver,Master Degree,$227.29,$3040.21,Beaverton,OR
95,Murdock,Hinkensen,Murdock.Hinkensen@datascience.aot.com,Male,Gold,High School Diploma,$324.64,$4835.21,Pasadena,CA
96,Valenka,Douche,Valenka.Douche@datascience.aot.com,Female,Platnium,High School Diploma,$304.73,$853.95,Sparks,NV
97,Kevon,Lind,Kevon.Lind@datascience.aot.com,Male,None,PhD,$185.27,$975.03,Sacramento,CA
98,Cinderella,McMurty,Cinderella.McMurty@datascience.aot.com,Polygender,Silver,Bachelor Degree,$305.75,$1850.57,Saint Louis,MO
99,Lynnet,McCullen,Lynnet.McCullen@datascience.aot.com,Female,Gold,Bachelor Degree,$225.13,$3123.53,San Jose,CA
100,Tammy,Heed,Tammy.Heed@datascience.aot.com,Male,None,High School Diploma,$248.39,$4904.79,East Saint Louis,IL
101,Woodie,Zapatero,Woodie.Zapatero@datascience.aot.com,Male,Gold,Master Degree,$382.26,$2201.29,Great Neck,NY
102,Lil,Grice,Lil.Grice@datascience.aot.com,Female,Silver,PhD,$362.40,$4314.07,,
103,Gaile,Dyer,Gaile.Dyer@datascience.aot.com,Male,Silver,PhD,$329.94,$4089.11,Albuquerque,NM
104,Pennie,Curteis,Pennie.Curteis@datascience.aot.com,Male,Gold,Bachelor Degree,$151.05,$4212.36,New York City,NY
105,Inga,Biglin,Inga.Biglin@datascience.aot.com,Female,Platnium,,,,Washington,DC
106,Silvio,Haddleton,Silvio.Haddleton@datascience.aot.com,Male,Platnium,,,,Trenton,NJ
107,Doug,Attrie,Doug.Attrie@datascience.aot.com,Male,Gold,High School Diploma,$153.93,$4785.43,Peoria,IL
108,Devan,Wheater,Devan.Wheater@datascience.aot.com,Female,Silver,PhD,$189.57,$1782.36,,
109,Ailyn,Blethin,Ailyn.Blethin@datascience.aot.com,Female,Platnium,,,,New Orleans,LA
110,Natala,McLellan,Natala.McLellan@datascience.aot.com,Female,None,Some College,$154.93,$4319.86,Cleveland,OH
111,Dominic,Balch,Dominic.Balch@datascience.aot.com,Bigender,None,Some College,$393.10,$3455.39,Reno,NV
112,Uri,Bride,Uri.Bride@datascience.aot.com,Male,Silver,High School Diploma,$338.95,$1227.11,Lincoln,NE
113,Maurizia,Norridge,Maurizia.Norridge@datascience.aot.com,Female,Silver,High School Diploma,$355.52,$3362.04,Lexington,KY
114,Aharon,Rowberry,Aharon.Rowberry@datascience.aot.com,Male,None,,,,,
115,Andy,Mongenot,Andy.Mongenot@datascience.aot.com,Male,None,High School Diploma,$318.43,$4822.10,Houston,TX
116,Alard,Truswell,Alard.Truswell@datascience.aot.com,Male,Gold,Master Degree,$390.19,$4095.33,,
117,Gregoire,Ranby,Gregoire.Ranby@datascience.aot.com,Male,None,PhD,$367.50,$2544.48,,
118,Farlee,Bugge,Farlee.Bugge@datascience.aot.com,Agender,Gold,High School Diploma,$277.96,$1220.94,Bethesda,MD
119,Roseanna,Gilyott,Roseanna.Gilyott@datascience.aot.com,Female,Platnium,Master Degree,$394.21,$554.77,Scottsdale,AZ
120,Nance,Boanas,Nance.Boanas@datascience.aot.com,Female,Platnium,PhD,$254.36,$2035.86,Tempe,AZ
121,Mamie,Jendrassik,Mamie.Jendrassik@datascience.aot.com,Female,Silver,Master Degree,$235.03,$1640.09,Jacksonville,FL
122,Essa,Menelaws,Essa.Menelaws@datascience.aot.com,Genderqueer,Silver,Some College,$196.93,$4609.06,Norman,OK
123,Marlo,Hynard,Marlo.Hynard@datascience.aot.com,Female,None,Bachelor Degree,$389.28,$1728.81,Jackson,MS
124,Rufe,Halpen,Rufe.Halpen@datascience.aot.com,Male,Silver,Bachelor Degree,$251.00,$4353.55,Lansing,MI
125,Hestia,Sparry,Hestia.Sparry@datascience.aot.com,Female,None,PhD,$224.10,$667.02,Madison,WI
126,Way,De la Zenne,Way.De la Zenne@datascience.aot.com,Male,Silver,Some College,$394.53,$3869.58,,
127,Vallie,Kermitt,Vallie.Kermitt@datascience.aot.com,Female,Gold,Bachelor Degree,$283.88,$2925.52,Kansas City,KS
128,Ignacius,Bruckner,Ignacius.Bruckner@datascience.aot.com,Male,None,Master Degree,$347.31,$2899.87,,
129,Tonia,Gaspar,Tonia.Gaspar@datascience.aot.com,Female,Platnium,Some College,$289.75,$1597.43,Pasadena,TX
130,Luther,Bigley,Luther.Bigley@datascience.aot.com,Male,None,High School Diploma,$343.04,$2394.38,,
131,Fransisco,Kull,Fransisco.Kull@datascience.aot.com,Male,Platnium,Master Degree,$227.68,$3488.37,Anchorage,AK
132,Granville,Cowderoy,Granville.Cowderoy@datascience.aot.com,Male,Silver,PhD,$306.45,$3685.88,Glendale,CA
133,Elfrieda,Thundercliffe,Elfrieda.Thundercliffe@datascience.aot.com,Polygender,Gold,High School Diploma,$345.46,$1784.67,New York City,NY
134,Stefa,Dukelow,Stefa.Dukelow@datascience.aot.com,Female,Platnium,Some College,$331.34,$2517.97,Atlanta,GA
135,Mickey,Piris,Mickey.Piris@datascience.aot.com,Male,Gold,Some College,$309.15,$2640.84,Elmira,NY
136,Rania,Malloy,Rania.Malloy@datascience.aot.com,Female,None,High School Diploma,$272.21,$3069.79,Newark,DE
137,Becca,Kinningley,Becca.Kinningley@datascience.aot.com,Female,None,High School Diploma,$181.96,$4147.97,Gainesville,FL
138,Enrico,Tembey,Enrico.Tembey@datascience.aot.com,Male,Silver,PhD,$374.99,$3038.14,Lees Summit,MO
139,Horacio,Kruschev,Horacio.Kruschev@datascience.aot.com,Male,Gold,,,,,
140,Murdoch,Clouter,Murdoch.Clouter@datascience.aot.com,Male,Gold,Bachelor Degree,$327.99,$462.66,Bakersfield,CA
141,Francesca,Enion,Francesca.Enion@datascience.aot.com,Genderqueer,Silver,PhD,$165.86,$1368.11,Jackson,MS
142,Jaclyn,Miroy,Jaclyn.Miroy@datascience.aot.com,Female,Silver,PhD,$232.78,$1902.61,Washington,DC
143,Barry,Pindred,Barry.Pindred@datascience.aot.com,Female,Gold,Bachelor Degree,$180.90,$1704.24,Baltimore,MD
144,Cyril,Parfitt,Cyril.Parfitt@datascience.aot.com,Male,Silver,Bachelor Degree,$369.95,$3806.35,San Luis Obispo,CA
145,Yoko,Mityushkin,Yoko.Mityushkin@datascience.aot.com,Female,Gold,Bachelor Degree,$354.89,$3256.79,Boulder,CO
146,Thornie,Shilston,Thornie.Shilston@datascience.aot.com,Male,Gold,High School Diploma,$264.29,$944.10,Columbia,SC
147,Clementine,Stiger,Clementine.Stiger@datascience.aot.com,Female,Platnium,PhD,$258.19,$3432.55,Canton,OH
148,Horton,Waite,Horton.Waite@datascience.aot.com,Male,Silver,High School Diploma,$365.71,$925.23,Pompano Beach,FL
149,Zorina,Crannell,Zorina.Crannell@datascience.aot.com,Female,Platnium,Master Degree,$294.90,$1031.28,,
150,Wendi,McPhilemy,Wendi.McPhilemy@datascience.aot.com,Female,Silver,Master Degree,$154.56,$3163.79,Saint Paul,MN
151,Matty,Castana,Matty.Castana@datascience.aot.com,Male,Gold,High School Diploma,$215.38,$2893.31,Little Rock,AR
152,Aveline,Matushenko,Aveline.Matushenko@datascience.aot.com,Female,Silver,High School Diploma,$195.57,$1479.34,Saint Petersburg,FL
153,Bondon,Hazlewood,Bondon.Hazlewood@datascience.aot.com,Male,None,High School Diploma,$376.05,$4970.21,Bethesda,MD
154,Christophorus,Prinne,Christophorus.Prinne@datascience.aot.com,Male,None,Bachelor Degree,$208.70,$3636.14,Virginia Beach,VA
155,Benny,Harvie,Benny.Harvie@datascience.aot.com,Male,Silver,PhD,$296.85,$4993.88,Columbus,OH
156,Andree,Blucher,Andree.Blucher@datascience.aot.com,Agender,Platnium,PhD,$342.12,$2468.86,Midland,MI
157,Datha,Blasli,Datha.Blasli@datascience.aot.com,Female,None,High School Diploma,$199.69,$1458.36,,
158,Maribeth,Bycraft,Maribeth.Bycraft@datascience.aot.com,Female,Gold,Master Degree,$195.68,$4969.38,Salem,OR
159,Walton,Kovnot,Walton.Kovnot@datascience.aot.com,Male,Silver,Some College,$295.75,$4025.79,Lancaster,CA
160,Bethina,Croix,Bethina.Croix@datascience.aot.com,Female,Platnium,PhD,$240.20,$4906.91,,
161,Christi,Blucher,Christi.Blucher@datascience.aot.com,Female,Gold,Master Degree,$277.86,$3503.47,Providence,RI
162,Alexandr,Bertlin,Alexandr.Bertlin@datascience.aot.com,Male,Silver,,,,Norfolk,VA
163,Minny,McGucken,Minny.McGucken@datascience.aot.com,Agender,Gold,High School Diploma,$184.20,$3435.28,Dallas,TX
164,Jeremias,Dutteridge,Jeremias.Dutteridge@datascience.aot.com,Male,Gold,Some College,$219.48,$4185.85,Fort Worth,TX
165,Millard,Cleeve,Millard.Cleeve@datascience.aot.com,Male,Gold,Master Degree,$315.67,$1686.45,Atlanta,GA
166,Clemmy,Normanell,Clemmy.Normanell@datascience.aot.com,Male,Platnium,Master Degree,$365.80,$3499.86,Tuscaloosa,AL
167,Terence,Hewes,Terence.Hewes@datascience.aot.com,Male,Platnium,Master Degree,$239.21,$1026.53,Albuquerque,NM
168,Lance,Muskett,Lance.Muskett@datascience.aot.com,Male,None,High School Diploma,$347.26,$4341.74,Dearborn,MI
169,Starr,Veck,Starr.Veck@datascience.aot.com,Non-binary,Silver,Master Degree,$181.32,$3752.27,Wichita,KS
170,Issi,Yoslowitz,Issi.Yoslowitz@datascience.aot.com,Female,None,Master Degree,$246.99,$1880.28,New York City,NY
171,Cal,Vickars,Cal.Vickars@datascience.aot.com,Male,None,Some College,$290.11,$4461.32,,
172,Winnah,Findley,Winnah.Findley@datascience.aot.com,Female,Gold,Bachelor Degree,$317.87,$4707.71,Dallas,TX
173,Else,Bielfeldt,Else.Bielfeldt@datascience.aot.com,Female,Gold,PhD,$354.23,$579.48,,
174,Floyd,Copland,Floyd.Copland@datascience.aot.com,Bigender,Silver,PhD,$310.99,$992.85,Houston,TX
175,Rollo,Cust,Rollo.Cust@datascience.aot.com,Male,Platnium,High School Diploma,$271.93,$1406.32,Denver,CO
176,Odelinda,Hornbuckle,Odelinda.Hornbuckle@datascience.aot.com,Female,Silver,High School Diploma,$216.45,$591.64,Wilmington,DE
177,Rusty,Fidele,Rusty.Fidele@datascience.aot.com,Male,Silver,Some College,$328.18,$3467.51,Arlington,VA
178,Cristabel,Brandt,Cristabel.Brandt@datascience.aot.com,Female,Gold,Some College,$209.68,$4995.38,Arlington,VA
179,Mavra,Broschke,Mavra.Broschke@datascience.aot.com,Female,Silver,PhD,$231.04,$884.50,Torrance,CA
180,Devy,Warboy,Devy.Warboy@datascience.aot.com,Male,None,Some College,$194.11,$4746.70,Los Angeles,CA
181,Katlin,Slevin,Katlin.Slevin@datascience.aot.com,Female,Silver,Master Degree,$230.30,$2432.53,Melbourne,FL
182,Darrelle,Harm,Darrelle.Harm@datascience.aot.com,Female,Platnium,Master Degree,$271.81,$4679.62,,
183,Myles,Milesap,Myles.Milesap@datascience.aot.com,Male,Silver,,,,New York City,NY
184,Ellissa,Milsted,Ellissa.Milsted@datascience.aot.com,Female,Silver,Bachelor Degree,$150.00,$4489.64,Macon,GA
185,Carlin,Aldrich,Carlin.Aldrich@datascience.aot.com,Agender,Silver,High School Diploma,$316.12,$2399.04,New York City,NY
186,Gualterio,Gokes,Gualterio.Gokes@datascience.aot.com,Male,Gold,Master Degree,$222.99,$4742.30,Houston,TX
187,Alisha,Bossons,Alisha.Bossons@datascience.aot.com,Female,None,High School Diploma,$318.26,$3381.21,New York City,NY
188,Maury,Neissen,Maury.Neissen@datascience.aot.com,Male,Silver,Master Degree,$245.52,$3538.57,,
189,Brad,Athow,Brad.Athow@datascience.aot.com,Male,Silver,High School Diploma,$334.32,$4268.91,,
190,Rana,Tuddenham,Rana.Tuddenham@datascience.aot.com,Bigender,Gold,Master Degree,$195.33,$3835.91,Pittsburgh,PA
191,Clair,Richardson,Clair.Richardson@datascience.aot.com,Female,Silver,Some College,$221.80,$2546.36,Portland,OR
192,Cynthie,Peret,Cynthie.Peret@datascience.aot.com,Genderqueer,Gold,Some College,$173.35,$656.43,Honolulu,HI
193,Moira,Foxton,Moira.Foxton@datascience.aot.com,Female,Gold,PhD,$377.33,$1436.05,,
194,Joshua,Leppard,Joshua.Leppard@datascience.aot.com,Male,Platnium,PhD,$227.45,$2712.57,,
195,Jamison,Brandolini,Jamison.Brandolini@datascience.aot.com,Male,None,Bachelor Degree,$254.46,$2881.45,Beaumont,TX
196,Nona,Friday,Nona.Friday@datascience.aot.com,Female,Platnium,Bachelor Degree,$358.89,$2221.33,Maple Plain,MN
197,Maxie,Pegler,Maxie.Pegler@datascience.aot.com,Genderfluid,None,Bachelor Degree,$215.64,$588.26,Asheville,NC
198,Armstrong,McArt,Armstrong.McArt@datascience.aot.com,Male,Gold,Master Degree,$373.79,$2561.12,Cincinnati,OH
199,Pincus,Dumberrill,Pincus.Dumberrill@datascience.aot.com,Male,Platnium,High School Diploma,$270.02,$830.11,Charlotte,NC
200,Katusha,Knipe,Katusha.Knipe@datascience.aot.com,Female,Platnium,Bachelor Degree,$233.85,$3135.48,Washington,DC
201,Hatti,Cosson,Hatti.Cosson@datascience.aot.com,Female,None,Master Degree,$328.23,$896.59,Yakima,WA
202,Zea,Astridge,Zea.Astridge@datascience.aot.com,Female,Gold,High School Diploma,$231.55,$1612.44,Buffalo,NY
203,Linoel,Fishly,Linoel.Fishly@datascience.aot.com,Male,Gold,High School Diploma,$178.42,$847.23,South Bend,IN
204,Ash,Erricker,Ash.Erricker@datascience.aot.com,Male,Platnium,Bachelor Degree,$205.89,$935.47,White Plains,NY
205,Bertram,Ferreli,Bertram.Ferreli@datascience.aot.com,Male,Platnium,Master Degree,$295.00,$1330.74,Santa Ana,CA
206,Galvin,Leggat,Galvin.Leggat@datascience.aot.com,Male,Silver,,,,Berkeley,CA
207,Maryjane,McNish,Maryjane.McNish@datascience.aot.com,Female,None,High School Diploma,$152.72,$2460.02,Amarillo,TX
208,Monique,Lorand,Monique.Lorand@datascience.aot.com,Female,Silver,Some College,$263.92,$1289.20,Tucson,AZ
209,Mathew,Hewins,Mathew.Hewins@datascience.aot.com,Male,Platnium,Bachelor Degree,$193.14,$3170.62,Cincinnati,OH
210,Dasi,Marquot,Dasi.Marquot@datascience.aot.com,Female,Silver,Some College,$293.53,$3758.44,Houston,TX
211,Tony,MacLise,Tony.MacLise@datascience.aot.com,Male,Platnium,PhD,$163.04,$3201.62,Eugene,OR
212,Norbie,Allon,Norbie.Allon@datascience.aot.com,Male,Platnium,Master Degree,$338.72,$764.56,Louisville,KY
213,Beniamino,Crosthwaite,Beniamino.Crosthwaite@datascience.aot.com,Male,Gold,Some College,$241.93,$3240.74,West Palm Beach,FL
214,Bing,Pyer,Bing.Pyer@datascience.aot.com,Male,None,Bachelor Degree,$232.99,$709.84,Evansville,IN
215,Duffy,Kimberly,Duffy.Kimberly@datascience.aot.com,Male,Platnium,Master Degree,$391.01,$426.84,Berkeley,CA
216,Hatti,Merricks,Hatti.Merricks@datascience.aot.com,Female,Platnium,Bachelor Degree,$162.52,$4648.71,,
217,Virginia,Bearward,Virginia.Bearward@datascience.aot.com,Female,None,High School Diploma,$245.76,$2966.04,Columbia,SC
218,Lilli,Calendar,Lilli.Calendar@datascience.aot.com,Female,Gold,PhD,$289.83,$4862.62,Cumming,GA
219,Onfroi,Kernock,Onfroi.Kernock@datascience.aot.com,Male,Platnium,High School Diploma,$208.05,$1461.17,Dallas,TX
220,Kris,Redmire,Kris.Redmire@datascience.aot.com,Genderfluid,None,Some College,$188.30,$4536.78,Springfield,IL
221,Law,Petteford,Law.Petteford@datascience.aot.com,Male,Platnium,High School Diploma,$315.17,$738.44,,
222,Lana,Bartolomeoni,Lana.Bartolomeoni@datascience.aot.com,Female,Silver,PhD,$392.46,$3199.98,,
223,Cyrus,Van Hove,Cyrus.Van Hove@datascience.aot.com,Male,Silver,Master Degree,$253.34,$2339.46,,
